prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,user_id
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user3
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user4
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user5
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user6
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user7
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user8
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user9
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user10
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user11
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user12
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user13
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user14
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user15
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user16
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user17
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user18
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user19
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user20
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user21
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user22
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user23
0.0020673967092943546,0.9979326032907044,0.0,0.0,0.0,0.0,0.0,user24
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user25
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user26
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user27
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user28
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user29
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user30
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user31
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user32
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user33
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user34
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user35
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user36
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user37
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user38
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user39
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user40
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user41
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user42
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user43
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user44
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user45
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user46
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user47
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user48
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user49
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user50
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user51
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user52
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user53
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user54
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user55
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user56
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user57
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user58
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user59
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user60
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user61
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user62
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user63
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user64
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user65
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user66
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user67
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user68
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user69
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user70
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user71
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user72
0.997927968583728,0.0020720314162691973,0.0,0.0,0.0,0.0,0.0,user73
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user74
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user75
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user76
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user77
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user78
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user79
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user80
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user81
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user82
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user83
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user84
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user85
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user86
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user87
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user88
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user89
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user90
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user91
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user92
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user93
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user94
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user95
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user96
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user97
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user98
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user99
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user100
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user101
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user102
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user103
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user104
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user105
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user106
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user107
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user108
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user109
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user110
0.9998966875047766,0.00010331249522305727,0.0,0.0,0.0,0.0,0.0,user111
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user112
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user113
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user114
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user115
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user116
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user117
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user118
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user119
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user120
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user121
0.9999989754268901,1.0245731120902801e-06,0.0,0.0,0.0,0.0,0.0,user122
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user123
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user124
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user125
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user126
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user127
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user128
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user129
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user130
0.9979087334809102,0.0020912665190891697,0.0,0.0,0.0,0.0,0.0,user131
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user132
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user133
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user134
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user135
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user136
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user137
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user138
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user139
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user140
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user141
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user142
0.9998138804103867,0.0001861195896130788,0.0,0.0,0.0,0.0,0.0,user143
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user144
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user145
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user146
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user147
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user148
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user149
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user150
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user151
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user152
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user153
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user154
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user155
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user156
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user157
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user158
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user159
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user160
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user161
0.9992575186675866,0.0007424813324134879,0.0,0.0,0.0,0.0,0.0,user162
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user163
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user164
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user165
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user166
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user167
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user168
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user169
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user170
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user171
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user172
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user173
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user174
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user175
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user176
0.9999828213559316,1.717864406524406e-05,0.0,0.0,0.0,0.0,0.0,user177
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user178
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user179
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user180
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user181
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user182
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user183
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user184
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user185
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user186
0.022229745987897214,0.9777702540121003,0.0,0.0,0.0,0.0,0.0,user187
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user188
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user189
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user190
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user191
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user192
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user193
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user194
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user195
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user196
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user197
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user198
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user199
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user200
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user201
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user202
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user203
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user204
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user205
0.0,0.0,0.0,1.0,0.0,0.0,0.0,user206
0.9999703757860161,2.9624213986086096e-05,0.0,0.0,0.0,0.0,0.0,user207
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user208
1.0,0.0,0.0,0.0,0.0,0.0,0.0,user209
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user210
0.0,0.0,0.0,0.0,1.0,0.0,0.0,user211
0.0,0.0,1.0,0.0,0.0,0.0,0.0,user212
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user213
0.0,0.0,0.0,0.0,0.0,0.0,1.0,user214
0.0,1.0,0.0,0.0,0.0,0.0,0.0,user215
0.0,0.0,0.0,0.0,0.0,1.0,0.0,user216
