user_id,cluster
user0,1
user1,3
user2,0
user3,2
user4,1
user5,3
user6,1
user7,2
user8,0
user9,3
user10,3
user11,3
user12,5
user13,3
user14,3
user15,4
user16,4
user17,2
user18,0
user19,5
user20,6
user21,2
user22,3
user23,2
user24,1
user25,5
user26,6
user27,4
user28,2
user29,5
user30,3
user31,5
user32,6
user33,5
user34,2
user35,6
user36,5
user37,6
user38,6
user39,6
user40,3
user41,2
user42,0
user43,5
user44,3
user45,2
user46,2
user47,0
user48,2
user49,3
user50,3
user51,0
user52,4
user53,6
user54,4
user55,1
user56,5
user57,2
user58,6
user59,6
user60,5
user61,5
user62,6
user63,5
user64,6
user65,0
user66,5
user67,1
user68,5
user69,6
user70,5
user71,1
user72,4
user73,0
user74,2
user75,5
user76,6
user77,1
user78,5
user79,2
user80,3
user81,6
user82,3
user83,3
user84,3
user85,4
user86,3
user87,2
user88,1
user89,3
user90,3
user91,1
user92,3
user93,5
user94,6
user95,1
user96,1
user97,2
user98,3
user99,4
user100,6
user101,1
user102,0
user103,3
user104,4
user105,0
user106,1
user107,2
user108,2
user109,0
user110,1
user111,0
user112,5
user113,3
user114,5
user115,2
user116,4
user117,0
user118,0
user119,6
user120,6
user121,4
user122,0
user123,2
user124,5
user125,0
user126,2
user127,0
user128,3
user129,6
user130,4
user131,0
user132,2
user133,2
user134,6
user135,1
user136,1
user137,0
user138,5
user139,3
user140,6
user141,6
user142,1
user143,0
user144,0
user145,5
user146,3
user147,5
user148,6
user149,6
user150,6
user151,6
user152,2
user153,5
user154,1
user155,2
user156,3
user157,3
user158,2
user159,3
user160,6
user161,1
user162,0
user163,1
user164,5
user165,6
user166,4
user167,0
user168,6
user169,6
user170,0
user171,3
user172,5
user173,6
user174,0
user175,4
user176,0
user177,0
user178,3
user179,0
user180,5
user181,3
user182,4
user183,6
user184,6
user185,1
user186,1
user187,1
user188,6
user189,3
user190,4
user191,6
user192,1
user193,4
user194,3
user195,6
user196,4
user197,2
user198,1
user199,6
user200,0
user201,6
user202,6
user203,1
user204,1
user205,6
user206,3
user207,0
user208,2
user209,0
user210,6
user211,4
user212,2
user213,6
user214,6
user215,1
user216,5
user217,2
user218,1
user219,4
user220,5
user221,6
user222,1
user223,2
user224,3
user225,4
user226,3
user227,0
user228,1
user229,6
user230,6
user231,6
user232,5
user233,1
user234,0
user235,4
user236,2
user237,2
user238,2
user239,2
user240,5
user241,3
user242,6
user243,6
user244,6
