user_id,drinking,dietary_preference,pets,relationship_goal,fitness_level,religion,sleep_schedule,smoking,wants_kids
user0,False,vegan,True,friends with benefits,moderately active,jewish,early bird,True,True
user1,True,vegetarian,False,long-term,very active,christian,night owl,False,False
user2,False,non-veg,True,casual dating,active,hindu,early bird,True,True
user3,True,non-veg,False,open relationship,active,muslim,night owl,False,False
user4,False,vegetarian,True,long-term,moderately active,hindu,early bird,False,True
user5,True,vegan,False,casual dating,very active,christian,night owl,True,False
user6,False,non-veg,True,long-term,moderately active,jewish,early bird,False,True
user7,True,vegetarian,False,open relationship,active,muslim,night owl,True,False
user8,False,vegan,True,casual dating,active,hindu,early bird,False,True
user9,True,non-veg,False,friends with benefits,very active,christian,night owl,True,False
user10,False,non-veg,False,friends with benefits,very active,hindu,night owl,False,False
user11,True,vegan,True,friends with benefits,very active,jewish,early bird,True,False
user12,True,vegetarian,True,friends with benefits,moderately active,christian,night owl,False,True
user13,False,non-veg,False,friends with benefits,very active,atheist,night owl,False,True
user14,False,vegetarian,False,casual dating,very active,buddhist,early bird,True,True
user15,True,vegetarian,False,open relationship,moderately active,hindu,irregular,True,False
user16,True,vegan,False,long-term,moderately active,hindu,irregular,True,True
user17,True,non-veg,False,long-term,active,hindu,night owl,False,True
user18,True,non-veg,False,long-term,active,jewish,early bird,False,True
user19,True,non-veg,False,long-term,moderately active,jewish,night owl,True,True
user20,False,non-veg,True,long-term,very active,buddhist,irregular,False,False
user21,True,non-veg,True,long-term,active,hindu,night owl,False,True
user22,False,non-veg,True,long-term,very active,atheist,early bird,False,False
user23,True,vegetarian,True,open relationship,active,hindu,night owl,False,True
user24,False,non-veg,True,casual dating,sedentary,christian,early bird,False,True
user25,False,non-veg,True,long-term,moderately active,muslim,night owl,True,False
user26,False,non-veg,False,casual dating,moderately active,jewish,irregular,True,False
user27,False,vegetarian,True,friends with benefits,moderately active,buddhist,irregular,True,False
user28,True,non-veg,True,friends with benefits,active,muslim,night owl,True,True
user29,True,non-veg,True,long-term,moderately active,hindu,night owl,True,False
user30,True,non-veg,False,open relationship,very active,hindu,early bird,False,False
user31,False,non-veg,True,long-term,moderately active,christian,night owl,False,False
user32,True,non-veg,False,long-term,sedentary,christian,irregular,False,True
user33,True,vegetarian,True,casual dating,moderately active,christian,night owl,False,False
user34,True,non-veg,True,open relationship,active,atheist,night owl,True,False
user35,False,non-veg,False,long-term,active,atheist,irregular,True,False
user36,False,non-veg,False,friends with benefits,sedentary,jewish,night owl,True,False
user37,True,non-veg,True,friends with benefits,very active,muslim,irregular,False,False
user38,False,non-veg,True,friends with benefits,moderately active,hindu,irregular,False,False
user39,True,non-veg,False,friends with benefits,moderately active,hindu,irregular,True,True
user40,True,non-veg,False,casual dating,very active,buddhist,night owl,False,False
user41,False,non-veg,False,long-term,active,hindu,night owl,True,True
user42,True,non-veg,False,long-term,active,hindu,early bird,False,True
user43,False,vegan,True,open relationship,moderately active,jewish,night owl,False,True
user44,True,non-veg,True,open relationship,very active,hindu,night owl,False,True
user45,False,non-veg,True,casual dating,active,christian,night owl,False,True
user46,True,non-veg,True,long-term,active,hindu,night owl,True,True
user47,True,vegetarian,False,casual dating,active,christian,early bird,False,False
user48,False,non-veg,True,friends with benefits,active,atheist,night owl,True,True
user49,True,non-veg,True,casual dating,very active,hindu,early bird,False,True
user50,False,non-veg,False,open relationship,very active,muslim,early bird,True,False
user51,True,vegetarian,True,long-term,active,atheist,early bird,True,True
user52,False,vegetarian,False,open relationship,moderately active,muslim,irregular,False,True
user53,True,non-veg,False,friends with benefits,sedentary,atheist,irregular,True,False
user54,False,vegan,False,friends with benefits,moderately active,buddhist,irregular,False,True
user55,False,non-veg,True,friends with benefits,moderately active,christian,early bird,False,True
user56,False,vegan,False,casual dating,moderately active,hindu,night owl,False,False
user57,False,non-veg,False,open relationship,active,hindu,night owl,True,True
user58,True,non-veg,False,long-term,moderately active,christian,irregular,False,True
user59,True,non-veg,True,open relationship,active,muslim,irregular,True,False
user60,False,non-veg,True,friends with benefits,moderately active,muslim,night owl,True,True
user61,False,non-veg,False,friends with benefits,sedentary,muslim,night owl,True,False
user62,True,non-veg,False,open relationship,moderately active,muslim,irregular,False,False
user63,False,non-veg,True,long-term,sedentary,atheist,night owl,True,False
user64,False,non-veg,True,open relationship,active,atheist,irregular,True,True
user65,True,non-veg,True,friends with benefits,active,buddhist,early bird,True,True
user66,True,non-veg,False,casual dating,moderately active,atheist,night owl,False,True
user67,False,vegetarian,False,friends with benefits,moderately active,christian,early bird,True,False
user68,False,non-veg,False,casual dating,moderately active,hindu,night owl,False,True
user69,False,non-veg,True,casual dating,very active,christian,irregular,False,True
user70,True,vegan,False,casual dating,moderately active,muslim,night owl,True,True
user71,False,non-veg,True,friends with benefits,moderately active,buddhist,early bird,True,True
user72,False,vegetarian,True,long-term,sedentary,atheist,irregular,True,False
